Latitude,Longitude,Elevation (metres),Distance (KMs),Gradient
48.77749,-64.4557,14.8,7.933,-1
48.77735,-64.45571,14.5,7.948,-1
48.7772,-64.45573,14,7.965,-2
48.77703,-64.45577,14,7.984,-1
48.77688,-64.4558,13.9,8.001,-1
48.77672,-64.45585,13.5,8.019,-1
48.77658,-64.4559,13.1,8.035,-2
48.77637,-64.45599,13,8.059,-1
48.77618,-64.45608,13,8.082,-1
48.77605,-64.45617,13,8.098,-1
48.77591,-64.45626,12.3,8.114,-1
48.77584,-64.45632,12,8.123,-1
48.77578,-64.45636,12,8.131,-1
48.77565,-64.45648,12,8.148,-1
48.77552,-64.45661,12,8.165,-1
48.77537,-64.45678,12,8.186,-1
48.77523,-64.45697,11.3,8.207,-2
48.77507,-64.4572,11,8.231,-1
48.77493,-64.45742,11,8.254,-1
48.77469,-64.45788,10.1,8.297,-2
48.77454,-64.4582,10,8.326,-1
48.77443,-64.4585,10,8.351,-1
48.77433,-64.45884,10,8.378,-1
48.77425,-64.45914,9.6,8.402,0
48.77418,-64.45946,9.7,8.427,0
48.77414,-64.45967,10,8.443,0
48.77409,-64.45998,9.7,8.466,0
48.77401,-64.46053,10,8.507,0
48.77394,-64.46108,10,8.548,0
48.77384,-64.46181,10.2,8.603,0
48.77382,-64.462,10.1,8.617,0
48.77377,-64.46243,10.8,8.649,1
48.77371,-64.46288,10.5,8.683,0
48.77354,-64.46419,11,8.781,0
48.773435,-64.464995,12,8.841,1
48.77333,-64.4658,13.6,8.901,2
48.773178,-64.466954,16.1,8.988,3
48.773026,-64.468108,17.5,9.074,2
48.772874,-64.469262,17.6,9.16,1
48.772722,-64.470416,17.7,9.247,0
48.77257,-64.47157,17.8,9.333,0
48.77245,-64.47229,18,9.387,0
48.77234,-64.47284,17.5,9.43,0
48.77225,-64.47318,17,9.457,-1
48.77213,-64.47355,17,9.487,-1
48.77203,-64.47377,16.7,9.506,-1
48.77193,-64.47398,16.1,9.525,-1
48.77182,-64.47418,15.6,9.544,-2
48.77167,-64.47439,11.2,9.567,-5
48.77153,-64.47457,9,9.588,-8
48.7714,-64.47472,9,9.606,-7
48.77124,-64.47487,11.3,9.627,-5
48.77106,-64.47503,14,9.65,-2
48.77085,-64.47517,13.8,9.676,2
48.77066,-64.47526,13,9.698,4
48.77045,-64.47534,13,9.722,3
48.77026,-64.47539,13,9.743,2
48.77006,-64.47542,12.2,9.766,-2
48.76984,-64.47541,12,9.79,-2
48.76964,-64.47539,12,9.812,-1
48.76945,-64.47533,11.6,9.834,-1
48.76926,-64.47526,11,9.856,-2
48.76907,-64.47517,11,9.878,-1
48.76887,-64.47504,11,9.902,-1
48.76863,-64.47486,10.9,9.932,-1
48.76847,-64.47469,10,9.954,-1
48.76835,-64.47455,10,9.971,-1
48.76823,-64.47439,10,9.988,-1
48.76812,-64.47423,10,10.005,-1
48.768,-64.47404,10,10.025,-1
48.76789,-64.47384,9.3,10.044,-1
48.76779,-64.47362,9,10.063,-1
48.76769,-64.47338,9,10.084,-1
48.76759,-64.47311,9,10.107,-1
48.76752,-64.47289,9,10.125,-1
48.76745,-64.47263,9,10.145,0
48.767154,-64.471592,8.8,10.228,0
